timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750161005.5972183,1,0,182,313,91,156,748,glass,416,-55.323171669625424,-90.29687811250267,4.416174201524364,-54.66535090091777,-90.65293405790574,-54.5751813286037,-90.29307683137675,-54.4815301061526,-90.81372942550601,-54.33725879045007,-90.23795786305962
1750161005.722051,179,0,415,309,297,154,770,glass,416,-55.323171669625424,-90.29687811250267,4.416174201524364,-54.55317567422873,-90.29936147173059,-54.71031130778965,-89.83072129673084,-54.29860653057558,-90.37040250574893,-54.55002354427306,-89.62057822574931
1750161005.8466282,178,0,416,311,297,155,765,glass,416,-55.31838855607208,-90.29507154805101,4.386583085615859,-54.553404769599645,-90.30005215386701,-54.71055258299826,-89.83057135446934,-54.30033746164813,-90.37196845552147,-54.55177396308591,-89.62079917648519
1750161005.9684474,182,0,415,311,298,155,769,glass,416,-55.31838855607208,-90.29507154805101,4.386583085615859,-54.54939657044675,-90.29156070142777,-54.70608375862064,-89.82983630108669,-54.295195896533066,-90.35976610749196,-54.5458953976113,-89.62100706694625
1750161006.20792,182,0,416,313,299,156,796,glass,416,-55.31033804476891,-90.28678441010793,4.130308006406144,-54.514338048184776,-90.28671066692598,-54.67571531522502,-89.80629508541251,-54.2513314591535,-90.35875088119842,-54.50953508641788,-89.5900859507769
1750161006.327919,181,0,416,314,298,157,788,glass,416,-55.31033804476891,-90.28678441010793,4.130308006406144,-54.52234086701379,-90.28889340275082,-54.682093433109884,-89.81112412385166,-54.26197882877283,-90.36119149237857,-54.51758293452658,-89.5967606461399
1750161006.4459915,181,0,416,314,298,157,789,glass,416,-55.31033804476891,-90.28678441010793,4.130310603703441,-54.5213408704996,-90.28889604337108,-54.68129618996398,-89.81052046553143,-54.26064842029915,-90.36128587002598,-54.516576931442174,-89.5958849454825
1750161006.6843233,180,0,415,321,297,160,754,glass,416,-55.310645907520936,-90.28658584233597,7.947483210599046,-54.55805643051761,-90.24048726205567,-54.73977559153077,-89.7940179969367,-54.30502171326464,-90.29362807773943,-54.5957723708857,-89.57927725354908
1750161006.8098197,181,0,415,321,298,160,757,glass,416,-55.31066896691357,-90.28657096930507,8.233395192556468,-54.555466951390635,-90.23442774587106,-54.74000215450257,-89.78918943646266,-54.30122606626696,-90.28557052525214,-54.596482391246056,-89.57318923019868
1750161011.3183658,55,0,267,332,161,166,662,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.116341753460595,-90.91794265085086,-54.797026510189596,-90.70634521482013,-55.1071243032757,-91.13989232606957,-54.59621991404208,-90.8013364284204
1750161011.439077,35,0,248,332,141,166,658,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.15266539615971,-90.92361989823407,-54.82288780958873,-90.72985344040225,-55.155914390279534,-91.14459810093791,-54.628270251765954,-90.83457176840699
1750161011.5635834,88,2,416,301,252,151,818,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.00096974287412,-91.04261736668607,-54.520461058478,-90.50955099824638,-54.98131970568204,-91.35018979651667,-54.21250581064824,-90.4972836070132
1750161011.5635834,0,0,68,318,34,159,753,glass,416,-55.3067242090458,-90.28390911813722,-49.012425798111266,-55.20208858115364,-91.0296036838782,-55.06435630533288,-90.99683744500452,-55.191357734159105,-91.25822698943153,-54.970986092845884,-91.20580100723365
